instance=/home/kty/mapf-IR/../ros2_ws/src/mapf_visualizer_3d/scripts/sample_3d.txt
agents=2
map_file=/home/kty/ros2_ws/src/mapf_visualizer_3d/scripts/arena_3d.map3d
solver=CBS
solved=1
soc=64
lb_soc=33
makespan=38
lb_makespan=19
comp_time=1
starts=(5.00,19.00,19.00),(19.00,19.00,19.00),
goals=(19.00,19.00,19.00),(19.00,0.00,19.00),
solution=
0:(5.00,19.00,19.00),(19.00,19.00,19.00),
1:(6.00,19.00,19.00),(19.00,18.00,19.00),
2:(6.00,19.00,19.00),(19.00,18.00,19.00),
3:(7.00,19.00,19.00),(19.00,17.00,19.00),
4:(7.00,19.00,19.00),(19.00,17.00,19.00),
5:(8.00,19.00,19.00),(19.00,16.00,19.00),
6:(8.00,19.00,19.00),(19.00,16.00,19.00),
7:(9.00,19.00,19.00),(19.00,15.00,19.00),
8:(9.00,19.00,19.00),(19.00,15.00,19.00),
9:(10.00,19.00,19.00),(19.00,14.00,19.00),
10:(10.00,19.00,19.00),(19.00,14.00,19.00),
11:(11.00,19.00,19.00),(19.00,13.00,19.00),
12:(11.00,19.00,19.00),(19.00,13.00,19.00),
13:(12.00,19.00,19.00),(19.00,12.00,19.00),
14:(12.00,19.00,19.00),(19.00,12.00,19.00),
15:(13.00,19.00,19.00),(19.00,11.00,19.00),
16:(13.00,19.00,19.00),(19.00,11.00,19.00),
17:(14.00,19.00,19.00),(19.00,10.00,19.00),
18:(14.00,19.00,19.00),(19.00,10.00,19.00),
19:(15.00,19.00,19.00),(19.00,9.00,19.00),
20:(15.00,19.00,19.00),(19.00,9.00,19.00),
21:(16.00,19.00,19.00),(19.00,8.00,19.00),
22:(16.00,19.00,19.00),(19.00,8.00,19.00),
23:(17.00,19.00,19.00),(19.00,7.00,19.00),
24:(17.00,19.00,19.00),(19.00,7.00,19.00),
25:(18.00,19.00,19.00),(19.00,6.00,19.00),
26:(18.00,19.00,19.00),(19.00,6.00,19.00),
27:(19.00,19.00,19.00),(19.00,5.00,19.00),
28:(19.00,19.00,19.00),(19.00,5.00,19.00),
29:(19.00,19.00,19.00),(19.00,4.00,19.00),
30:(19.00,19.00,19.00),(19.00,4.00,19.00),
31:(19.00,19.00,19.00),(19.00,3.00,19.00),
32:(19.00,19.00,19.00),(19.00,3.00,19.00),
33:(19.00,19.00,19.00),(19.00,2.00,19.00),
34:(19.00,19.00,19.00),(19.00,2.00,19.00),
35:(19.00,19.00,19.00),(19.00,1.00,19.00),
36:(19.00,19.00,19.00),(19.00,1.00,19.00),
37:(19.00,19.00,19.00),(19.00,0.00,19.00),
38:(19.00,19.00,19.00),(19.00,0.00,19.00),
