agent,time,x,y,z,original_x,original_y,original_z,attractive_force_x,attractive_force_y,attractive_force_z,repulsive_force_x,repulsive_force_y,repulsive_force_z,total_force_x,total_force_y,total_force_z,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
0,0.8,1.0,0.0,0.0,0.8,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
1,0.8,1.0,19.0,0.0,0.8,19.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
2,0.8,10.0,10.0,1.0,10.0,10.0,0.8,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
3,0.8,18.0,0.0,0.0,18.2,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993
0,1.0,1.2,0.0,0.0,1.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,1.0,1.2,19.0,0.0,1.0,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,1.0,10.0,10.0,1.2,10.0,10.0,1.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,1.0,17.8,0.0,0.0,18.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,1.2,1.4,0.0,0.0,1.2,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,1.2,1.4,19.0,0.0,1.2,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,1.2,10.0,10.0,1.4,10.0,10.0,1.2,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,1.2,17.6,0.0,0.0,17.8,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,1.4,1.5999999999999999,0.0,0.0,1.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,1.4,1.5999999999999999,19.0,0.0,1.4,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,1.4,10.0,10.0,1.5999999999999999,10.0,10.0,1.4,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,1.4,17.400000000000002,0.0,0.0,17.6,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,1.6,1.8,0.0,0.0,1.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,1.6,1.8,19.0,0.0,1.6,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,1.6,10.0,10.0,1.8,10.0,10.0,1.6,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,1.6,17.2,0.0,0.0,17.4,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993
0,1.8,2.0,0.0,0.0,1.8,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
1,1.8,2.0,19.0,0.0,1.8,19.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.0,0.0,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
2,1.8,10.0,10.0,2.0,10.0,10.0,1.8,0.0,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.19999999999999996,0.19999999999999996,0.0,0.19999999999999996,0.19999999999999996
3,1.8,17.0,0.0,0.0,17.2,0.0,0.0,-0.1999999999999993,0.0,0.0,0.0,0.0,0.0,-0.1999999999999993,0.0,0.0,0.1999999999999993,0.0,0.1999999999999993,0.1999999999999993
0,2.0,2.2,0.0,0.0,2.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
1,2.0,2.2,19.0,0.0,2.0,19.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
2,2.0,10.0,10.0,2.2,10.0,10.0,2.0,0.0,0.0,0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.20000000000000004
3,2.0,16.8,0.0,0.0,17.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.0,0.0,0.0,-0.20000000000000048,0.0,0.0,0.20000000000000048,0.0,0.20000000000000048,0.20000000000000048
0,2.2,2.4,0.0,0.0,2.2,0.0,0.0,0.19999999999999987,0.0,0.0,0.0,0.0,0.0,0.19999999999999987,0.0,0.0,0.19999999999999987,0.0,0.19999999999999987,0.19999999999999987
